MINERAL_DEPOSIT_NO,DEPOSIT_NAME,COMMODITY_CODE,COMMODITY_NAME,COMMODITY_CONFIDENCE,SIGNIFICANCE
2046,SHAMROCK,U3O8,Uranium Oxide,,MINOR
2046,SHAMROCK,U,Uranium,,MINOR
2046,SHAMROCK,Cu,Copper,,MAJOR
2047,PINNACLES,Cu,Copper,,MAJOR
2074,JUNCTION AND STANLEY,Bi,Bismuth,,MINOR
2074,JUNCTION AND STANLEY,Cu,Copper,,MAJOR
2077,UMBERATANA,Cu,Copper,,MAJOR
2085,WALLACE GULLY,Cu,Copper,,MINOR
2085,WALLACE GULLY,Au,Gold,,MAJOR
2086,WEALTHY KING,Cu,Copper,,MAJOR
2088,WHEAL AUSTIN,TALC,Talc,,MINOR
2088,WHEAL AUSTIN,Cu,Copper,,MAJOR
2089,WHEAL FROST,Cu,Copper,,MAJOR
2090,WHEAL GLEESON SOUTH NO.2,Cu,Copper,,MAJOR
2091,WHEAL GLEESON,Cu,Copper,,MAJOR
2096,WILLIGAN,Cu,Copper,,MAJOR
2103,YUDNAMUTANA,Cu,Copper,,MAJOR
2104,SIR DOMINIC,Au,Gold,,MINOR
2104,SIR DOMINIC,Cu,Copper,,MAJOR
2105,DALY,Cu,Copper,,MAJOR
2106,OLD KNOLL,Cu,Copper,,MAJOR
2107,JUBILEE,Cu,Copper,,MAJOR
2107,JUBILEE,Au,Gold,,MINOR
2114,BLACK QUEEN EAST,Cu,Copper,,MAJOR
2114,BLACK QUEEN EAST,TALC,Talc,,MINOR
2115,BLACK QUEEN WEST,Cu,Copper,,MAJOR
2116,BLUE,Cu,Copper,,MAJOR
2118,COCKSCOMB,Cu,Copper,,MAJOR
2144,GRAND JUNCTION,Au,Gold,,MINOR
2144,GRAND JUNCTION,Co,Cobalt,,MINOR
2144,GRAND JUNCTION,Cu,Copper,,MAJOR
2151,HAMILTON,Cu,Copper,,MAJOR
2151,HAMILTON,Ag,Silver,,MINOR
2160,MOUNT MCDONNELL,Bi,Bismuth,,MINOR
2160,MOUNT MCDONNELL,Au,Gold,,MINOR
2160,MOUNT MCDONNELL,Cu,Copper,,MAJOR
4157,BALANCING ROCK,Cu,Copper,,MAJOR
4166,BERNINIS,Cu,Copper,,MAJOR
4255,GREAT OVERSIGHT,Cu,Copper,,MAJOR
4307,MOLLER AND RANKINES,Cu,Copper,,MAJOR
4314,MOULES CLAIM,Cu,Copper,,MAJOR
4418,VALLEY,U3O8,Uranium Oxide,,MINOR
4418,VALLEY,U,Uranium,,MAJOR
4429,WHEAL MARIA,Cu,Copper,,MAJOR
4444,YELDA,Cu,Copper,,MAJOR
9208,WHEAL GLEESON SOUTH 1,Cu,Copper,,MAJOR
9223,WATERFALL CREEK,Cu,Copper,,MAJOR
9224,PINNACLES SOUTH,Cu,Copper,,MAJOR
