MINERAL_DEPOSIT_NO,DEPOSIT_NAME,DEPOSIT_SYNONYMS,DISCOVERY_YEAR,DEPOSIT_CLASS,DEPOSIT_STATUS,DEPOSIT_SUMMARY,COMMODITIES,MINEROLOGY_ORE,MINEROLOGY_GANGUE,MINERAL_DISTRICT,MINE_SUMMARY_CARD,REFERENCE_FLAG,MAP_250000,MAP_100000,MAP_50000,ELEVATION_M
2046,SHAMROCK,SHAFT PROSPECT; SHAMROCK VALLEY; TARGET 20,1866,Deposit,Abandoned,surface Cu-U mineralisation in quartz vein in host volcanics of the Callana Beds. No production records. Later exploration identified pitchblende in main shaft. Best value from 2 diamond drill holes 3.05m diamond core assayed 0.9lb U3O8/ton.,"Copper,  Uranium Oxide,  Uranium","Azurite,  Malachite,  Metatorbernite,  Pitchblende,  Torbernite,  Uraninite,  Uranophane","Actinolite,  Biotite,  Iron oxide (non specific),  Magnetite,  Quartz,  Scapolite",Yudnamutana Copper,Y,Y,SH5409 COPLEY,6737 Umberatana,1,
2047,PINNACLES,YUDNAMUTANA 2,1862,Occurrence,Abandoned,"lenticular body of quartz, iron & manganese oxide with copper carbonates as replacement deposit in host marble of the Wywyana Formation. Recorded production ~75 tonne at 3-4%Cu. Drilling gave best value 3m @ 1.95%Cu.",Copper,"Bornite,  Chalcopyrite,  Cuprite,  Malachite","Calcite,  Hematite,  Pyrite,  Quartz",Yudnamutana Copper,Y,Y,SH5409 COPLEY,6737 Umberatana,1,
2074,JUNCTION AND STANLEY,STANLEY,1866,Occurrence,Abandoned,"epigenetic copper mineralisation was associated with an EW-trending shear zone, which was hosted in tillite of the Bolla Bollana Formation. There was a second main shaft ~170m to the WSW from the main workings.","Copper,  Bismuth","Azurite,  Malachite","Bismuthinite,  Calcite,  Hematite,  Iron oxide (non specific),  Quartz",Yudnamutana Copper,Y,Y,SH5409 COPLEY,6737 Umberatana,1,
2077,UMBERATANA,,1938,Occurrence,Not worked,"veins up to 5 cm wide, cross-cut a limestone host at right angles. Limestone beds of the Wywyana Formation trended NE, dipped 30.",Copper,Malachite,"Carbonate,  Tremolite",Yudnamutana Copper,Y,Y,SH5409 COPLEY,6737 Umberatana,4,
2085,WALLACE GULLY,BERNINES,1908,Occurrence,Abandoned,"1.8m wide brecciated, quartz infilled shear, trend E of N, dip steep W in host metasediment of the Bolla Bollana Formation. No record of copper ore production. Alluvial gold potential investigated in 1986 determined low prospectivity.","Gold,  Copper","Azurite,  Gold,  Malachite",Quartz,Yudnamutana Copper,Y,Y,SH5409 COPLEY,6737 Umberatana,1,
2086,WEALTHY KING,YERELINA VALLEY,1890,Occurrence,Abandoned,"supergene malachite-specular hematite lode as disseminations and coatings on fracture surfaces and cavity linings in host fault breccia in Opaminda Formation, near the contact with Wooltana Volcanics.  . Recorded production ~19t@ 20-30%Cu.",Copper,Malachite,"Hematite,  Quartz",Yudnamutana Copper,Y,Y,SH5409 COPLEY,6737 Umberatana,1,
2088,WHEAL AUSTIN,MOULES; PFITZNERS,1863,Occurrence,Abandoned,"lenticular jasperoid outcrop cut by irregular veins and masses of quartz, veins of hematite, hosted by talcose-actinolitic rock of Wywyana Formation. Malachite coatings and blebs on fracture planes and disseminated. No production record determined.","Copper,  Talc","Chalcocite,  Malachite","Hematite,  Hematite  Micaceous,  Quartz",Yudnamutana Copper,Y,Y,SH5409 COPLEY,6737 Umberatana,1,
2089,WHEAL FROST,CAPRA VALLEY,1863,Occurrence,Abandoned,copper mineralisation occurred at the faulted contact of quartzite and calcareous beds of the Wywyana Formation. Recorded production ~31 tonne at 22-23%Cu from 1900-1908.,Copper,"Azurite,  Malachite","Hematite,  Hematite  Micaceous,  Quartz",Yudnamutana Copper,Y,Y,SH5409 COPLEY,6737 Umberatana,1,
2090,WHEAL GLEESON SOUTH NO.2,YERELINA VALLEY; YUDNAMUTANA 3,1872,Occurrence,Abandoned,"mineralisation at contact of Wooltana Volcanics and Opaminda Formation, in similar stratigraphic position, ~450m along strike from Wealthy King. Production not determined. Possible extension of the Black Queen (East) shear zone.",Copper,"Carbonate,  Malachite",Quartz,Yudnamutana Copper,Y,Y,SH5409 COPLEY,6737 Umberatana,1,
2091,WHEAL GLEESON,FLINDERS COPPER MINING COMPANY; WHEAL GLEESON NORTH; YUDNAMUTANA 3,1872,Occurrence,Abandoned,shear-hosted Cu mineralisation in 5 discordant breccia zones in host slate of the Yankaninna Formation. Production  >100t @ 30% of supergene ore.,Copper,"Chalcopyrite,  Cuprite,  Malachite,  Tenorite","Hematite,  Pyrite,  Quartz",Yudnamutana Copper,Y,Y,SH5409 COPLEY,6737 Umberatana,1,
