MINERAL_DEPOSIT_NO,DEPOSIT_NAME,MINERAL_CODE,MINERAL,MINERAL_TYPE,RELATIVE_ABUNDANCE_CODE,RELATIVE_ABUNDANCE_DESC,WEATHERING_PRODUCT,FORM_DISTRIBUTION
2046,SHAMROCK,ACT,Actinolite,GANGUE,MAJOR,30- 70 % by volume,N,
2046,SHAMROCK,AZ,Azurite,ORE,TRACE,1-4 % by volume,Y,
2046,SHAMROCK,BT,Biotite,GANGUE,MINOR,5-29 % by volume,N,
2046,SHAMROCK,IO,Iron oxide (non specific),GANGUE,TRACE,1-4 % by volume,Y,
2046,SHAMROCK,MAL,Malachite,ORE,MINOR,5-29 % by volume,Y,As Aggregates; As Coating/film
2046,SHAMROCK,MGT,Magnetite,GANGUE,MINOR,5-29 % by volume,N,
2046,SHAMROCK,MTB,Metatorbernite,ORE,RARE,<1 % by volume,N,
2046,SHAMROCK,PIT,Pitchblende,ORE,TRACE,1-4 % by volume,N,Granular
2046,SHAMROCK,QZ,Quartz,GANGUE,MAJOR,30- 70 % by volume,N,
2046,SHAMROCK,SCP,Scapolite,GANGUE,TRACE,1-4 % by volume,N,
2046,SHAMROCK,TBR,Torbernite,ORE,RARE,<1 % by volume,N,
2046,SHAMROCK,URN,Uraninite,ORE,RARE,<1 % by volume,N,
2046,SHAMROCK,URP,Uranophane,ORE,RARE,<1 % by volume,N,
2047,PINNACLES,BN,Bornite,ORE,RARE,<1 % by volume,N,
2047,PINNACLES,CAL,Calcite,GANGUE,TRACE,1-4 % by volume,N,
2047,PINNACLES,CCP,Chalcopyrite,ORE,TRACE,1-4 % by volume,N,
2047,PINNACLES,CUP,Cuprite,ORE,TRACE,1-4 % by volume,Y,
2047,PINNACLES,HEM,Hematite,GANGUE,TRACE,1-4 % by volume,N,
2047,PINNACLES,MAL,Malachite,ORE,MINOR,5-29 % by volume,Y,
2047,PINNACLES,PY,Pyrite,GANGUE,TRACE,1-4 % by volume,N,
2047,PINNACLES,QZ,Quartz,GANGUE,MAJOR,30- 70 % by volume,N,
2074,JUNCTION AND STANLEY,AZ,Azurite,ORE,MINOR,5-29 % by volume,Y,As Coating/film; Nodular
2074,JUNCTION AND STANLEY,BMN,Bismuthinite,GANGUE,TRACE,1-4 % by volume,Y,
2074,JUNCTION AND STANLEY,CAL,Calcite,GANGUE,MAJOR,30- 70 % by volume,N,
2074,JUNCTION AND STANLEY,HEM,Hematite,GANGUE,TRACE,1-4 % by volume,N,
2074,JUNCTION AND STANLEY,IO,Iron oxide (non specific),GANGUE,MAJOR,30- 70 % by volume,Y,
2074,JUNCTION AND STANLEY,MAL,Malachite,ORE,MINOR,5-29 % by volume,Y,As Coating/film; Nodular
